,Unnamed: 0,rank,title,score,scored_by_users,type,episodes,status,aired,Year Aired,premiered,Premiered Season,broadcast,Broadcast Date,producers,licensors,studios,source,genres,Main Genre,theme,demographic,duration,duration (mins),rating,popularity,url
2794,2794,3495,Red Garden,7.07,9137,TV,22,Finished Airing,"Oct 4, 2006 to Mar 14, 2007",2006,Fall 2006,Fall,Wednesdays at 02:40 (JST),Wednesdays,"GDH, Sotsu Music Publishing","ADV Films, Funimation",Gonzo,Original,"Drama, Mystery",Drama,Unknown,All,23 min. per ep.,23 ,R - 17+ (violence & profanity),2836,https://myanimelist.net/anime/1601/Red_Garden
2795,2795,3496,Reikenzan: Hoshikuzu-tachi no Utage,7.07,33553,TV,12,Finished Airing,"Jan 9, 2016 to Mar 26, 2016",2016,Winter 2016,Winter,Saturdays at 00:00 (JST),Saturdays,"Haoliners Animation League, Tencent Animation & Comics","None found, add some",Studio Deen,Light novel,"Comedy, Fantasy",Comedy,Unknown,All,24 min. per ep.,24 ,PG-13 - Teens 13 or older,1855,https://myanimelist.net/anime/32094/Reikenzan__Hoshikuzu-tachi_no_Utage
2797,2797,3498,Sasameki Koto,7.07,23432,TV,13,Finished Airing,"Oct 8, 2009 to Dec 31, 2009",2009,Fall 2009,Fall,Unknown,Unknown,"Half H.P Studio, flying DOG","None found, add some",AIC,Manga,"Comedy, Girls Love, Romance",Comedy,School,All,24 min. per ep.,24 ,PG-13 - Teens 13 or older,2195,https://myanimelist.net/anime/6203/Sasameki_Koto
2798,2798,3499,Sekirei,7.07,185563,TV,12,Finished Airing,"Jul 2, 2008 to Sep 17, 2008",2008,Summer 2008,Summer,Wednesdays at 23:30 (JST),Wednesdays,"Aniplex, Movic",Funimation,Seven Arcs,Manga,"Action, Comedy, Ecchi",Action,Unknown,All,23 min. per ep.,23 ,R+ - Mild Nudity,483,https://myanimelist.net/anime/4063/Sekirei
2799,2799,3500,Shakunetsu no Takkyuu Musume,7.07,16293,TV,12,Finished Airing,"Oct 4, 2016 to Dec 20, 2016",2016,Fall 2016,Fall,Tuesdays at 01:35 (JST),Tuesdays,"TV Tokyo, Sotsu, AT-X, KlockWorx, Memory-Tech, Studio Mausu, DIVE II Entertainment, Avex Pictures, Children's Playground Entertainment, BS Japan, FuRyu","None found, add some",Kinema Citrus,Web manga,,Unknown,Unknown,All,24 min. per ep.,24 ,PG-13 - Teens 13 or older,2895,https://myanimelist.net/anime/33031/Shakunetsu_no_Takkyuu_Musume
2800,2800,351,Death Parade,8.17,850924,TV,12,Finished Airing,"Jan 10, 2015 to Mar 28, 2015",2015,Winter 2015,Winter,Saturdays at 01:58 (JST),Saturdays,"VAP, DAX Production, Nippon Television Network",Funimation,Madhouse,Original,"Drama, Mystery, Suspense",Drama,Unknown,All,23 min. per ep.,23 ,R - 17+ (violence & profanity),48,https://myanimelist.net/anime/28223/Death_Parade
2803,2803,354,Hinamatsuri (TV),8.17,209848,TV,12,Finished Airing,"Apr 6, 2018 to Jun 22, 2018",2018,Spring 2018,Spring,Fridays at 21:00 (JST),Fridays,"Media Factory, Magic Capsule, Nippon Columbia, Kadokawa Media House, Akatsuki",Funimation,feel.,Manga,"Comedy, Sci-Fi, Slice of Life, Supernatural",Comedy,Unknown,Seinen,23 min. per ep.,23 ,PG-13 - Teens 13 or older,408,https://myanimelist.net/anime/36296/Hinamatsuri_TV
2804,2804,355,K-On!!,8.17,326581,TV,26,Finished Airing,"Apr 7, 2010 to Sep 29, 2010",2010,Spring 2010,Spring,Wednesdays at 01:25 (JST),Wednesdays,"Pony Canyon, TBS, Movic, Rakuonsha, Animation Do",Sentai Filmworks,Kyoto Animation,4-koma manga,"Comedy, Slice of Life",Comedy,Unknown,All,24 min. per ep.,24 ,PG-13 - Teens 13 or older,256,https://myanimelist.net/anime/7791/K-On
2807,2807,358,Noragami Aragoto,8.17,780633,TV,13,Finished Airing,"Oct 3, 2015 to Dec 26, 2015",2015,Fall 2015,Fall,Saturdays at 01:05 (JST),Saturdays,"Dentsu, Shochiku, Kodansha, Ai Addiction, Avex Pictures, A-Sketch",Funimation,Bones,Manga,"Action, Adventure, Comedy, Supernatural",Action,Unknown,Shounen,24 min. per ep.,24 ,PG-13 - Teens 13 or older,73,https://myanimelist.net/anime/30503/Noragami_Aragoto
2808,2808,359,Ouran Koukou Host Club,8.17,586931,TV,26,Finished Airing,"Apr 5, 2006 to Sep 27, 2006",2006,Spring 2006,Spring,Wednesdays at 00:50 (JST),Wednesdays,"VAP, Hakusensha, Nippon Television Network",Funimation,Bones,Manga,"Comedy, Romance",Comedy,Unknown,Shoujo,23 min. per ep.,23 ,PG-13 - Teens 13 or older,113,https://myanimelist.net/anime/853/Ouran_Koukou_Host_Club
2810,2810,361,Nisemonogatari,8.16,389172,TV,11,Finished Airing,"Jan 8, 2012 to Mar 18, 2012",2012,Winter 2012,Winter,Sundays at 00:00 (JST),Sundays,"Aniplex, Kodansha, Rakuonsha",Aniplex of America,Shaft,Light novel,"Comedy, Mystery, Supernatural, Ecchi",Comedy,Unknown,All,25 min. per ep.,25 ,R - 17+ (violence & profanity),227,https://myanimelist.net/anime/11597/Nisemonogatari
2815,2815,366,Detective Conan,8.16,138561,TV,1038,Currently Airing,"Jan 8, 1996 to ?",1996,Winter 1996,Winter,Saturdays at 18:00 (JST),Saturdays,"Yomiuri Telecasting, Animax, YTV, TMS-Kyokuchi, Shogakukan","Funimation, Crunchyroll",TMS Entertainment,Manga,"Adventure, Comedy, Mystery",Adventure,Police,Shounen,25 min.,25 ,PG-13 - Teens 13 or older,603,https://myanimelist.net/anime/235/Detective_Conan
2816,2816,367,Gankutsuou,8.16,63896,TV,24,Finished Airing,"Oct 6, 2004 to Mar 30, 2005",2004,Fall 2004,Fall,Tuesdays at 02:12 (JST),Tuesdays,"GDH, TV Asahi, Media Factory, Sotsu Music Publishing","Funimation, Geneon Entertainment USA",Gonzo,Novel,"Drama, Mystery, Sci-Fi, Supernatural, Suspense",Drama,Unknown,All,24 min. per ep.,24 ,R - 17+ (violence & profanity),849,https://myanimelist.net/anime/239/Gankutsuou
2819,2819,370,Cardcaptor Sakura,8.15,183642,TV,70,Finished Airing,"Apr 7, 1998 to Mar 21, 2000",1998,Spring 1998,Spring,Tuesdays at 18:00 (JST),Tuesdays,"NHK, Kodansha, Sogo Vision, YTV","Nelvana, NIS America, Inc., Geneon Entertainment USA",Madhouse,Manga,"Adventure, Comedy, Drama, Fantasy, Romance",Adventure,School,Shoujo,25 min. per ep.,25 ,PG - Children,458,https://myanimelist.net/anime/232/Cardcaptor_Sakura
2820,2820,371,Dragon Ball Z,8.15,721799,TV,291,Finished Airing,"Apr 26, 1989 to Jan 31, 1996",1989,Spring 1989,Spring,Wednesdays at 19:00 (JST),Wednesdays,Fuji TV,Funimation,Toei Animation,Manga,"Action, Adventure, Comedy, Fantasy",Action,Unknown,Shounen,24 min. per ep.,24 ,PG-13 - Teens 13 or older,99,https://myanimelist.net/anime/813/Dragon_Ball_Z
2821,2821,372,Eizouken ni wa Te wo Dasu na!,8.15,104917,TV,12,Finished Airing,"Jan 6, 2020 to Mar 23, 2020",2020,Winter 2020,Winter,Mondays at 00:10 (JST),Mondays,"Warner Bros. Japan, Warner Music Japan, Shogakukan, NHK Enterprises",Crunchyroll,Science SARU,Manga,"Adventure, Comedy",Adventure,School,Seinen,25 min. per ep.,25 ,PG-13 - Teens 13 or older,683,https://myanimelist.net/anime/39792/Eizouken_ni_wa_Te_wo_Dasu_na
2824,2824,375,Kaiba,8.15,37599,TV,12,Finished Airing,"Apr 11, 2008 to Jul 25, 2008",2008,Spring 2008,Spring,Unknown,Unknown,"VAP, WOWOW",Discotek Media,Madhouse,Original,"Adventure, Mystery, Romance, Sci-Fi",Adventure,Unknown,All,24 min. per ep.,24 ,R+ - Mild Nudity,1360,https://myanimelist.net/anime/3701/Kaiba
2825,2825,376,Katekyo Hitman Reborn!,8.15,214590,TV,203,Finished Airing,"Oct 7, 2006 to Sep 25, 2010",2006,Fall 2006,Fall,Saturdays at 10:30 (JST),Saturdays,"TV Tokyo, Dentsu, Marvelous, Pony Canyon, d-rights","VIZ Media, Discotek Media",Artland,Manga,"Action, Comedy",Action,Super Power,Shounen,24 min. per ep.,24 ,PG-13 - Teens 13 or older,337,https://myanimelist.net/anime/1604/Katekyo_Hitman_Reborn
2827,2827,378,Lupin III: Part 5,8.15,13042,TV,24,Finished Airing,"Apr 4, 2018 to Sep 19, 2018",2018,Spring 2018,Spring,Wednesdays at 01:29 (JST),Wednesdays,"Nippon Television Network, TMS Music",Discotek Media,Telecom Animation Film,Manga,"Action, Adventure, Comedy, Mystery",Action,Unknown,Seinen,22 min. per ep.,22 ,PG-13 - Teens 13 or older,3032,https://myanimelist.net/anime/35857/Lupin_III__Part_5
2828,2828,379,Nodame Cantabile: Paris-hen,8.15,70223,TV,11,Finished Airing,"Oct 10, 2008 to Dec 19, 2008",2008,Fall 2008,Fall,Fridays at 00:45 (JST),Fridays,"Fuji TV, Asmik Ace, Sony Music Entertainment","None found, add some",J.C.Staff,Manga,"Comedy, Romance, Slice of Life",Comedy,Music,Josei,23 min. per ep.,23 ,PG-13 - Teens 13 or older,1490,https://myanimelist.net/anime/4477/Nodame_Cantabile__Paris-hen
2829,2829,380,Seirei no Moribito,8.15,68265,TV,26,Finished Airing,"Apr 7, 2007 to Sep 29, 2007",2007,Spring 2007,Spring,Saturdays at 08:06 (JST),Saturdays,"Geneon Universal Entertainment, Dentsu, NHK Enterprises","VIZ Media, Media Blasters, Sentai Filmworks, Geneon Entertainment USA",Production I.G,Novel,"Action, Adventure, Fantasy",Action,Historical,All,25 min. per ep.,25 ,PG-13 - Teens 13 or older,955,https://myanimelist.net/anime/1827/Seirei_no_Moribito
2832,2832,383,5-toubun no Hanayome ∬,8.14,278137,TV,12,Finished Airing,"Jan 8, 2021 to Mar 26, 2021",2021,Winter 2021,Winter,Fridays at 01:28 (JST),Fridays,"Pony Canyon, Kodansha, DAX Production, BS11, Nichion, GYAO!, Good Smile Film, MAGNET","None found, add some",Bibury Animation Studios,Manga,"Comedy, Romance",Comedy,Unknown,Shounen,24 min. per ep.,24 ,PG-13 - Teens 13 or older,342,https://myanimelist.net/anime/39783/5-toubun_no_Hanayome_∬
2833,2833,384,IDOLiSH7: Second Beat!,8.14,6725,TV,15,Finished Airing,"Apr 5, 2020 to Dec 27, 2020",2020,Spring 2020,Spring,Sundays at 23:00 (JST),Sundays,"Bandai Visual, Lantis, Bandai Namco Games","None found, add some",TROYCA,Game,,Unknown,Music,All,24 min. per ep.,24 ,PG-13 - Teens 13 or older,3872,https://myanimelist.net/anime/37962/IDOLiSH7__Second_Beat
2834,2834,385,Initial D Fourth Stage,8.14,82880,TV,24,Finished Airing,"Apr 17, 2004 to Feb 18, 2006",2004,Spring 2004,Spring,Unknown,Unknown,"OB Planning, Studio Jack",Funimation,A.C.G.T.,Manga,"Action, Drama, Sports",Action,Cars,Seinen,27 min. per ep.,27 ,PG-13 - Teens 13 or older,1246,https://myanimelist.net/anime/18/Initial_D_Fourth_Stage
2835,2835,386,Initial D Second Stage,8.14,106127,TV,13,Finished Airing,"Oct 15, 1999 to Jan 21, 2000",1999,Fall 1999,Fall,Fridays at 01:55 (JST),Fridays,"OB Planning, Fuji TV","Funimation, Tokyopop",Pastel,Manga,"Action, Drama, Sports",Action,Cars,Seinen,23 min. per ep.,23 ,PG-13 - Teens 13 or older,1069,https://myanimelist.net/anime/186/Initial_D_Second_Stage
2841,2841,392,Durarara!!,8.13,584576,TV,24,Finished Airing,"Jan 8, 2010 to Jun 25, 2010",2010,Winter 2010,Winter,Fridays at 01:25 (JST),Fridays,"Aniplex, Square Enix, Mainichi Broadcasting System, Movic, ASCII Media Works, Sakura Create",Aniplex of America,Brain's Base,Light novel,"Action, Mystery, Supernatural",Action,Unknown,All,24 min. per ep.,24 ,R - 17+ (violence & profanity),77,https://myanimelist.net/anime/6746/Durarara
2843,2843,394,Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen 2nd Season,8.13,77088,TV,12,Finished Airing,"Apr 5, 2020 to Jun 21, 2020",2020,Spring 2020,Spring,Sundays at 02:10 (JST),Sundays,"WOWOW, Genco, MediaNet, KlockWorx, flying DOG, BS Fuji, Yomiuri TV Enterprise, ABC Animation, Happinet, Tokyo Animator Gakuin, TO Books, JTB Next Creation",Crunchyroll,Ajia-Do,Light novel,"Fantasy, Slice of Life",Fantasy,Unknown,All,23 min. per ep.,23 ,PG-13 - Teens 13 or older,1328,https://myanimelist.net/anime/40815/Honzuki_no_Gekokujou__Shisho_ni_Naru_Tame_ni_wa_Shudan_wo_Erandeiraremasen_2nd_Season
2844,2844,395,Kono Subarashii Sekai ni Shukufuku wo!,8.13,1068037,TV,10,Finished Airing,"Jan 14, 2016 to Mar 17, 2016",2016,Winter 2016,Winter,Thursdays at 01:05 (JST),Thursdays,"Half H.P Studio, Nippon Columbia, KlockWorx, Sony Music Communications, Toranoana, 81 Produce, Kadokawa Media House","Discotek Media, Crunchyroll",Studio Deen,Light novel,"Adventure, Comedy, Fantasy, Supernatural",Adventure,Parody,All,23 min. per ep.,23 ,PG-13 - Teens 13 or older,36,https://myanimelist.net/anime/30831/Kono_Subarashii_Sekai_ni_Shukufuku_wo
2848,2848,399,Tensei shitara Slime Datta Ken,8.13,652789,TV,24,Finished Airing,"Oct 2, 2018 to Mar 19, 2019",2018,Fall 2018,Fall,Tuesdays at 00:00 (JST),Tuesdays,"Lantis, Kodansha, BS11, Bandai Namco Arts, Micro Magazine Publishing",Funimation,8bit,Manga,"Action, Adventure, Comedy, Fantasy",Action,Demons,All,23 min. per ep.,23 ,PG-13 - Teens 13 or older,92,https://myanimelist.net/anime/37430/Tensei_shitara_Slime_Datta_Ken
2849,2849,400,Yuukoku no Moriarty,8.13,109239,TV,11,Finished Airing,"Oct 11, 2020 to Dec 20, 2020",2020,Fall 2020,Fall,Sundays at 23:53 (JST),Sundays,"Mainichi Broadcasting System, Shueisha, Yomiuri TV Enterprise, Bandai Namco Arts, Bandai Spirits",Funimation,Production I.G,Manga,"Mystery, Suspense",Mystery,Unknown,Shounen,23 min. per ep.,23 ,R - 17+ (violence & profanity),652,https://myanimelist.net/anime/40911/Yuukoku_no_Moriarty
2850,2850,3501,Show by Rock!! Stars!!,7.07,2036,TV,12,Finished Airing,"Jan 7, 2021 to Mar 25, 2021",2021,Winter 2021,Winter,Thursdays at 22:00 (JST),Thursdays,"Dentsu, Square Enix, Pony Canyon, Sanrio, KlockWorx, BS Fuji, 81 Produce, Tokyo MX, Hokkaido Cultural Broadcasting, Sammy, FuRyu, Sony Music Solutions",Funimation,Kinema Citrus,Game,,Unknown,Music,All,23 min. per ep.,23 ,PG-13 - Teens 13 or older,5702,https://myanimelist.net/anime/41520/Show_by_Rock_Stars
2851,2851,3502,Sora no Manimani,7.07,15936,TV,12,Finished Airing,"Jul 7, 2009 to Sep 22, 2009",2009,Summer 2009,Summer,Tuesdays at 10:30 (JST),Tuesdays,"Sony Pictures Entertainment, Marvelous, Lantis, Pony Canyon, AT-X, Delfi Sound","None found, add some",Studio Comet,Manga,"Comedy, Romance, Slice of Life",Comedy,School,Seinen,23 min. per ep.,23 ,PG-13 - Teens 13 or older,2879,https://myanimelist.net/anime/6098/Sora_no_Manimani
2852,2852,3503,Stars*Collection!,7.07,173,ONA,,Currently Airing,"Jan 28, 2022 to ?",2022,Unknown,Unknown,Unknown,Unknown,"None found, add some","None found, add some",Hololive Production,Other,,Unknown,Unknown,All,2 min.,2 ,PG-13 - Teens 13 or older,13237,https://myanimelist.net/anime/50934/StarsCollection
2853,2853,3504,Strike the Blood,7.07,275395,TV,24,Finished Airing,"Oct 4, 2013 to Mar 28, 2014",2013,Fall 2013,Fall,Fridays at 23:30 (JST),Fridays,"Movic, AT-X, Warner Bros. Japan, KlockWorx, ASCII Media Works, Showgate","Discotek Media, Crunchyroll","SILVER LINK., Connect",Light novel,"Action, Fantasy, Supernatural, Ecchi",Action,Unknown,All,24 min. per ep.,24 ,R+ - Mild Nudity,286,https://myanimelist.net/anime/18277/Strike_the_Blood
2855,2855,3506,Tesagure! Bukatsumono Encore,7.07,1431,TV,12,Finished Airing,"Jan 12, 2014 to Mar 30, 2014",2014,Winter 2014,Winter,Unknown,Unknown,"VAP, Bouncy, Just Production, JP Room","None found, add some",Yaoyorozu,Original,,Unknown,Unknown,All,11 min. per ep.,11 ,PG-13 - Teens 13 or older,7579,https://myanimelist.net/anime/21851/Tesagure_Bukatsumono_Encore
2856,2856,3507,Yakushiji Ryouko no Kaiki Jikenbo,7.07,5302,TV,13,Finished Airing,"Jul 6, 2008 to Sep 28, 2008",2008,Summer 2008,Summer,Unknown,Unknown,"Starchild Records, GANSIS","None found, add some",Doga Kobo,Light novel,"Mystery, Supernatural",Mystery,Police,All,23 min. per ep.,23 ,PG-13 - Teens 13 or older,4383,https://myanimelist.net/anime/3614/Yakushiji_Ryouko_no_Kaiki_Jikenbo
2857,2857,3508,Yoroiden Samurai Troopers,7.07,8113,TV,39,Finished Airing,"Apr 30, 1988 to Mar 4, 1989",1988,Spring 1988,Spring,Unknown,Unknown,"None found, add some","Bandai Entertainment, Discotek Media",Sunrise,Original,"Adventure, Sci-Fi",Adventure,Samurai,Shounen,23 min. per ep.,23 ,PG-13 - Teens 13 or older,4433,https://myanimelist.net/anime/1264/Yoroiden_Samurai_Troopers
2858,2858,3509,Zero kara Hajimeru Mahou no Sho,7.07,106218,TV,12,Finished Airing,"Apr 10, 2017 to Jun 26, 2017",2017,Spring 2017,Spring,Mondays at 23:30 (JST),Mondays,"Sotsu, Lantis, Half H.P Studio, Happinet Pictures, Infinite",Sentai Filmworks,White Fox,Light novel,"Action, Adventure, Fantasy",Action,Unknown,All,24 min. per ep.,24 ,PG-13 - Teens 13 or older,820,https://myanimelist.net/anime/34176/Zero_kara_Hajimeru_Mahou_no_Sho
2859,2859,3510,Anime Himitsu no Hanazono,7.07,2232,TV,39,Finished Airing,"Apr 19, 1991 to Mar 27, 1992",1991,Spring 1991,Spring,Unknown,Unknown,"NHK, Aubec","None found, add some",Gakken,Book,,Unknown,Historical,All,25 min. per ep.,25 ,G - All Ages,7157,https://myanimelist.net/anime/2810/Anime_Himitsu_no_Hanazono
2861,2861,3512,Bishoujo Senshi Sailor Moon Crystal,7.07,50695,ONA,26,Finished Airing,"Jul 5, 2014 to Jul 18, 2015",2014,Unknown,Unknown,Unknown,Unknown,"Starchild Records, Kodansha",VIZ Media,Toei Animation,Manga,,Unknown,Demons,Shoujo,24 min. per ep.,24 ,PG-13 - Teens 13 or older,1366,https://myanimelist.net/anime/14751/Bishoujo_Senshi_Sailor_Moon_Crystal
2863,2863,3514,Captain Future,7.07,1690,TV,52,Finished Airing,"Nov 7, 1978 to Dec 18, 1979",1978,Fall 1978,Fall,Unknown,Unknown,Harmony Gold,"None found, add some",Toei Animation,Novel,"Action, Adventure, Sci-Fi",Action,Unknown,Shounen,23 min. per ep.,23 ,PG-13 - Teens 13 or older,7763,https://myanimelist.net/anime/2561/Captain_Future
2865,2865,3516,Chicchana Yukitsukai Sugar,7.07,8759,TV,24,Finished Airing,"Oct 2, 2001 to Mar 26, 2002",2001,Fall 2001,Fall,Unknown,Unknown,"Kadokawa Shoten, Broccoli, TBS, Pioneer LDC","Sentai Filmworks, Geneon Entertainment USA",J.C.Staff,Original,"Comedy, Fantasy, Slice of Life",Comedy,Unknown,All,24 min. per ep.,24 ,PG - Children,3960,https://myanimelist.net/anime/831/Chicchana_Yukitsukai_Sugar
2867,2867,3518,Di Gi Charat Nyo,7.07,1889,TV,104,Finished Airing,"Apr 6, 2003 to Mar 28, 2004",2003,Spring 2003,Spring,Sundays at 09:30 (JST),Sundays,"TV Osaka, Broccoli",Bandai Entertainment,Madhouse,Unknown,"Comedy, Fantasy, Sci-Fi",Comedy,Unknown,All,12 min. per ep.,12 ,G - All Ages,6424,https://myanimelist.net/anime/1683/Di_Gi_Charat_Nyo
2872,2872,3523,Jie Yao,7.07,4018,ONA,13,Finished Airing,"Jan 9, 2020 to Mar 26, 2020",2020,Unknown,Unknown,Unknown,Unknown,"None found, add some","None found, add some",Seven Stone Entertainment,Light novel,"Boys Love, Comedy, Slice of Life",Boys Love,Unknown,All,18 min. per ep.,18 ,PG-13 - Teens 13 or older,4668,https://myanimelist.net/anime/41051/Jie_Yao
2873,2873,3524,Kaiketsu Zorori,7.07,979,TV,52,Finished Airing,"Feb 1, 2004 to Feb 6, 2005",2004,Winter 2004,Winter,Unknown,Unknown,Nagoya Broadcasting Network,"None found, add some",Ajia-Do,Unknown,"Adventure, Comedy",Adventure,Unknown,All,24 min. per ep.,24 ,PG - Children,8648,https://myanimelist.net/anime/3638/Kaiketsu_Zorori
2875,2875,3526,Kemurikusa (TV),7.07,7743,TV,12,Finished Airing,"Jan 9, 2019 to Mar 27, 2019",2019,Winter 2019,Winter,Wednesdays at 22:30 (JST),Wednesdays,"flying DOG, BS Fuji, Tokyo MX","None found, add some",Yaoyorozu,Original,"Fantasy, Sci-Fi",Fantasy,Unknown,All,23 min. per ep.,23 ,PG-13 - Teens 13 or older,3568,https://myanimelist.net/anime/37302/Kemurikusa_TV
2876,2876,3527,Kikou Souseiki Mospeada,7.07,2968,TV,25,Finished Airing,"Oct 2, 1983 to Mar 25, 1984",1983,Fall 1983,Fall,Unknown,Unknown,"Artmic, Harmony Gold",ADV Films,"Tatsunoko Production, Studio World",Original,,Unknown,Unknown,All,23 min. per ep.,23 ,PG-13 - Teens 13 or older,5947,https://myanimelist.net/anime/3670/Kikou_Souseiki_Mospeada
2880,2880,3531,All Out!!,7.06,41276,TV,25,Finished Airing,"Oct 7, 2016 to Mar 31, 2017",2016,Fall 2016,Fall,Fridays at 00:00 (JST),Fridays,"Telecom Animation Film, Mainichi Broadcasting System, Kodansha, Asmik Ace, Sony Music Entertainment, TMS Music","Funimation, Crunchyroll","Madhouse, TMS Entertainment",Manga,,Unknown,School,Seinen,24 min. per ep.,24 ,PG-13 - Teens 13 or older,1690,https://myanimelist.net/anime/31588/All_Out
2882,2882,3533,Bai Yao Pu 2nd Season,7.06,272,ONA,12,Finished Airing,"Jul 18, 2021 to Sep 26, 2021",2021,Unknown,Unknown,Unknown,Unknown,"None found, add some","None found, add some",Haoliners Animation League,Novel,"Adventure, Fantasy, Mystery, Supernatural",Adventure,Historical,All,20 min. per ep.,20 ,PG-13 - Teens 13 or older,9863,https://myanimelist.net/anime/44067/Bai_Yao_Pu_2nd_Season
2891,2891,3542,Fate/kaleid liner Prisma☆Illya,7.06,108041,TV,10,Finished Airing,"Jul 13, 2013 to Sep 14, 2013",2013,Summer 2013,Summer,Saturdays at 01:30 (JST),Saturdays,"Lantis, Kadokawa Shoten, AT-X, DAX Production, KlockWorx, Notes, Dwango, Tokyo MX, Docomo Anime Store, Kadokawa Media House",Sentai Filmworks,SILVER LINK.,Manga,"Action, Comedy, Fantasy",Action,Unknown,All,24 min. per ep.,24 ,PG-13 - Teens 13 or older,770,https://myanimelist.net/anime/14829/Fate_kaleid_liner_Prisma☆Illya
2893,2893,3544,Great Mazinger,7.06,1755,TV,56,Finished Airing,"Sep 8, 1974 to Sep 26, 1975",1974,Fall 1974,Fall,Sundays at 19:00 (JST),Sundays,Dynamic Planning,Discotek Media,Toei Animation,Manga,"Action, Sci-Fi",Action,Mecha,Shounen,25 min. per ep.,25 ,PG-13 - Teens 13 or older,7208,https://myanimelist.net/anime/5658/Great_Mazinger
2896,2896,3547,Hello! Sandybell,7.06,2539,TV,47,Finished Airing,"Mar 6, 1981 to Feb 26, 1982",1981,Spring 1981,Spring,Fridays at 19:30 (JST),Fridays,TV Asahi,"None found, add some",Toei Animation,Original,"Adventure, Romance",Adventure,Unknown,Shoujo,25 min. per ep.,25 ,G - All Ages,6954,https://myanimelist.net/anime/2799/Hello_Sandybell
2897,2897,3548,Hiatari Ryoukou!,7.06,801,TV,48,Finished Airing,"Mar 29, 1987 to Mar 20, 1988",1987,Spring 1987,Spring,Sundays at 19:00 (JST),Sundays,"None found, add some","None found, add some",Group TAC,Manga,"Comedy, Romance, Sports",Comedy,School,Shoujo,25 min. per ep.,25 ,PG-13 - Teens 13 or older,7611,https://myanimelist.net/anime/729/Hiatari_Ryoukou
2905,2905,3556,Kyoukai no Rinne (TV) 3rd Season,7.06,6585,TV,25,Finished Airing,"Apr 8, 2017 to Sep 23, 2017",2017,Spring 2017,Spring,Saturdays at 17:35 (JST),Saturdays,"Shogakukan-Shueisha Productions, NHK, Shogakukan, Egg Firm",Sentai Filmworks,Brain's Base,Manga,"Comedy, Supernatural",Comedy,School,Shounen,24 min. per ep.,24 ,PG-13 - Teens 13 or older,4031,https://myanimelist.net/anime/34106/Kyoukai_no_Rinne_TV_3rd_Season
2909,2909,3560,Mister Ajikko,7.06,713,TV,99,Finished Airing,"Oct 8, 1987 to Sep 28, 1989",1987,Fall 1987,Fall,Unknown,Unknown,TV Tokyo,"None found, add some",Sunrise,Manga,"Comedy, Gourmet",Comedy,Unknown,Shounen,24 min. per ep.,24 ,G - All Ages,7724,https://myanimelist.net/anime/3437/Mister_Ajikko
2911,2911,3562,Muteki Koujin Daitarn 3,7.06,935,TV,40,Finished Airing,"Jun 3, 1978 to Mar 31, 1979",1978,Summer 1978,Summer,Unknown,Unknown,Sotsu,"None found, add some",Sunrise,Original,,Unknown,Mecha,All,25 min. per ep.,25 ,PG - Children,8465,https://myanimelist.net/anime/3305/Muteki_Koujin_Daitarn_3
2913,2913,3564,No Guns Life 2nd Season,7.06,23388,TV,12,Finished Airing,"Jul 10, 2020 to Sep 25, 2020",2020,Summer 2020,Summer,Fridays at 01:28 (JST),Fridays,"Sony Pictures Entertainment, TBS, AT-X, Hakuhodo DY Music & Pictures, BS11, Egg Firm, Good Smile Film",Funimation,Madhouse,Manga,"Action, Drama, Sci-Fi",Action,Unknown,Seinen,23 min. per ep.,23 ,PG-13 - Teens 13 or older,2185,https://myanimelist.net/anime/40529/No_Guns_Life_2nd_Season
2914,2914,3565,Nobunaga no Shinobi,7.06,8023,TV,26,Finished Airing,"Oct 4, 2016 to Mar 28, 2017",2016,Fall 2016,Fall,Tuesdays at 21:55 (JST),Tuesdays,"None found, add some","None found, add some",TMS Entertainment,4-koma manga,,Unknown,Historical,All,3 min. per ep.,3 ,PG-13 - Teens 13 or older,4068,https://myanimelist.net/anime/32829/Nobunaga_no_Shinobi
2918,2918,3569,Ro-Kyu-Bu! SS,7.06,16687,TV,12,Finished Airing,"Jul 5, 2013 to Sep 27, 2013",2013,Summer 2013,Summer,Fridays at 22:30 (JST),Fridays,"AT-X, Warner Bros. Japan, KlockWorx, Studio Blanc, ASCII Media Works","None found, add some","Barnum Studio, Project No.9",Light novel,"Comedy, Sports, Ecchi",Comedy,School,All,24 min. per ep.,24 ,PG-13 - Teens 13 or older,3115,https://myanimelist.net/anime/16051/Ro-Kyu-Bu_SS
2919,2919,3570,Rockman.EXE Stream,7.06,3229,TV,51,Finished Airing,"Oct 2, 2004 to Sep 24, 2005",2004,Fall 2004,Fall,Unknown,Unknown,"None found, add some","None found, add some",Xebec,Game,"Action, Adventure, Sci-Fi",Action,Unknown,Shounen,25 min. per ep.,25 ,PG - Children,5781,https://myanimelist.net/anime/2109/RockmanEXE_Stream
